league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,FW,27,1996,0.4544276,-0.2066344,0.44172505,0.08072647,0.78255594,0.025459971,-0.2317183,-0.7495006,-0.56631356,-0.058494266
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,DF,23,2001,0.062416714,-0.1388861,0.46287426,-0.6242114,-0.52337223,0.09789639,-0.2961915,0.009226649,-0.69052607,0.5966535
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,"MF,DF",23,2001,0.14242037,0.033821307,0.10203753,-0.54323226,-0.09056744,0.55080813,-0.2219857,-0.53744256,-0.6397132,0.28194544
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,DF,31,1992,0.20222361,0.57473975,0.36372727,-0.65747166,-0.8036993,-0.50720394,-0.09271144,-0.71891034,-0.34057063,0.67110777
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,DF,22,2002,0.6352714,0.12351033,0.3901449,-0.6455313,-0.6617444,-0.040461853,0.0637989,-0.49904472,-0.5233104,0.7490268
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,FW,24,2000,-0.04208147,-0.127797,0.35079554,-0.31202692,0.72349143,0.6927051,-0.29569384,-0.6448536,-0.70833874,0.23651093
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,DF,31,1993,-0.08484362,-0.3635878,0.5636019,-0.6382409,-0.60720515,0.20864347,-0.28144825,0.16139053,-0.7069803,0.8152829
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,MF,26,1998,-0.20828827,-0.53723,0.34443173,-0.6319547,-0.16526747,0.64928997,0.20528646,-0.11904597,-0.46443418,0.45088774
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,0.65481293,0.536889,0.08051814,-0.076977246,-0.016070591,-0.13962393,-0.34326637,-0.29536912,-0.72995734,0.38113657
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,0.39154708,-0.55104923,-0.022671174,0.4864479,0.7370499,0.58464545,-0.2995748,-0.27624238,-0.48113286,0.36954948
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,0.6180511,0.35548055,0.33500028,0.7074807,0.20304793,-0.37086916,-0.10650597,0.51952314,-0.39720437,-0.13523895
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,DF,26,1997,0.868862,0.8172534,-0.3981503,0.4409947,0.6849744,-0.23178968,-0.11552105,-0.3967607,-0.92408127,-0.23760305
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,DF,24,1999,0.7610444,0.3503333,0.1300369,-0.5257965,-0.44270828,-0.61599934,0.60585886,0.1131428,-0.64423347,0.4463142
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,MF,24,2000,-0.24832721,-0.103960276,-0.019181805,0.03938794,0.10036768,0.055526417,0.13730398,0.17329937,-0.11585832,0.16390242
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,-0.65237963,-0.3642105,0.3954761,-0.004484493,0.4631845,0.15117784,-0.16303535,0.13813022,-0.49753383,0.5944004
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,DF,27,1997,0.38550007,-0.39250296,0.4266119,-0.7743363,-0.6276372,0.4681244,0.089425564,-0.30156717,-0.6502973,0.69031405
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,DF,28,1996,0.7999592,0.17816049,-0.13353187,-0.40174612,-0.85902846,-0.044371046,0.40504575,-0.58942384,-0.4046215,0.88758713
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,DF,28,1995,0.159132,0.11730919,0.07022124,-0.53296953,-0.0611622,0.36616564,-0.017740065,-0.4860056,-0.6295664,0.14571568
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,FW,33,1991,-0.47076854,-0.113950685,0.20605844,0.14116625,0.28161538,-0.39855134,-0.39235878,-0.48320404,0.2905582,-0.13569926
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,FW,23,2001,-0.8900375,-0.6598847,0.55063164,-0.5286001,0.5139493,0.12765282,-0.6657712,0.2405142,-0.35009265,0.777307
ENG-Premier League,2024 - 2025,Fulham,Sander Berge,NOR,MF,26,1998,-0.04000526,-0.030558094,0.08171166,-0.71919435,-0.4274809,0.042493213,0.42732123,-0.16857335,-0.3027012,0.15249632
ENG-Premier League,2024 - 2025,Fulham,Saša Lukić,SRB,MF,27,1996,-0.030151956,0.12550697,-0.30073348,-0.34845513,-0.1026429,0.3995078,0.2775897,-0.45634794,-0.31969962,0.04556956
ENG-Premier League,2024 - 2025,Fulham,Timothy Castagne,BEL,DF,28,1995,0.30535045,0.058354784,0.1563067,-0.6098622,-0.18023583,0.38196746,-0.09477936,-0.3876903,-0.7129816,0.3619912
