league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,-0.5340912,0.45845276,-0.70585227,-0.40503013,-0.6278191,0.42118663,0.8358927,0.092886366,-0.6202411,-0.16653053
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,FW,23,2001,-0.16142657,-0.29692572,0.23765197,-0.51370794,-0.33788452,-0.10746891,0.7267682,0.04181292,0.11654469,-0.7771124
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,FW,22,2002,-0.24943101,0.27147862,0.25643,-0.36932832,-0.505925,-0.16285975,0.8025951,-0.28008658,0.35477823,-0.73127574
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,FW,24,2000,-0.26755705,0.17001675,-0.22697833,0.13899256,-0.39631006,-0.20040154,0.763908,-0.245829,0.38077524,-0.46870577
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,"DF,MF",24,1999,-0.58607954,-0.21737488,-0.5530159,-0.2131469,-0.16513515,0.11009143,0.7601085,0.28407538,0.549459,-0.36379114
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,-0.5067434,-0.41933042,-0.6916515,-0.40232393,-0.029787889,-0.29220483,0.8323555,0.4510673,0.4704215,-0.17567223
ENG-Premier League,2024 - 2025,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,-0.5970273,-0.50671524,-0.6056113,-0.54041994,-0.3325579,-0.12708591,0.9225227,0.33533472,0.6700394,-0.37988892
ENG-Premier League,2024 - 2025,Crystal Palace,Adam Wharton,ENG,MF,20,2004,-0.647861,-0.21799889,-0.48991093,-0.20102109,-0.49893522,0.41919947,0.8243622,-0.004593653,0.49652782,-0.44478333
ENG-Premier League,2024 - 2025,Crystal Palace,Chris Richards,USA,DF,24,2000,-0.7531116,-0.5534621,-0.60559565,-0.501024,-0.30048102,-0.036070023,0.8125179,-0.14437845,0.1285608,-0.44799346
ENG-Premier League,2024 - 2025,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,-0.72071296,-0.061123375,-0.40913507,-0.36767954,-0.5095833,0.19461036,0.7970021,0.07677335,0.28211328,-0.5190759
ENG-Premier League,2024 - 2025,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,-0.30612227,-0.08188479,-0.43376818,-0.1608247,-0.63653606,0.050354157,0.9257249,-0.606806,-0.6323199,-0.59254146
ENG-Premier League,2024 - 2025,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,-0.15918504,0.05346128,-0.042993613,-0.0645801,-0.60262537,0.2371245,0.6050092,0.38787308,-0.07224573,-0.59246045
ENG-Premier League,2024 - 2025,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,-0.5116702,-0.28586066,-0.024109086,-0.6383743,-0.4057703,0.20166193,0.7794988,0.18079947,0.5664766,-0.73466355
ENG-Premier League,2024 - 2025,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,-0.30801064,-0.43514663,0.19689652,0.0043590055,-0.40865424,-0.10256146,0.78197414,-0.43600598,-0.06920052,-0.45812377
ENG-Premier League,2024 - 2025,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,-0.5824777,-0.26965398,0.11507889,-0.23601213,-0.067871355,-0.114392534,0.47770602,-0.10242936,-0.029988198,-0.63919026
ENG-Premier League,2024 - 2025,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,-0.7038635,-0.20727974,-0.4950651,-0.1936743,-0.40703753,-0.023214027,0.73306173,0.22204979,0.11057324,-0.46059456
ENG-Premier League,2024 - 2025,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,-0.5669524,-0.2238152,-0.6455518,-0.1940522,0.05753613,-0.29661685,0.8180336,0.24986991,-0.47663254,-0.11623061
ENG-Premier League,2024 - 2025,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,-0.81623673,-0.6558613,-0.6709086,-0.33660606,-0.3483894,-0.49181682,0.8578192,0.17561202,-0.4326154,-0.0451526
ENG-Premier League,2024 - 2025,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,-0.66118544,-0.29162332,-0.5978551,-0.40808868,0.20198373,0.115507476,0.8946941,0.22715934,0.38975415,-0.587219
