league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,29,1995,Left,CDM,-0.040526755,-0.38638684,-0.16826442,0.44344708,0.6044794,-0.2235733,-0.45976815,-0.09806918,-0.1546832,-0.5269226
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,31,1993,Right,CAM,-0.08057499,-0.14198896,-0.039326753,0.5742039,0.63499796,-0.26666954,-0.3161649,0.025237434,-0.052054826,-0.124371804
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,39,1985,Right,RB,-0.08662855,-0.47983694,-0.002578195,0.3695619,0.62271976,0.079348296,-0.5333261,-0.26056805,-0.2693371,-0.3732462
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,26,1998,Right,ST,-0.6494524,0.22672898,0.114369005,0.5061904,0.60553735,0.24496746,0.13317487,-0.06597466,0.45297918,-0.42244524
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,27,1997,Right,ST,-0.59895873,0.11317949,-0.34220338,0.47411862,0.7720638,0.14388958,0.1072588,0.09696419,0.41768464,-0.38482368
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,24,1999,Left,LM,-0.45902437,-0.56577504,0.022823794,0.033446934,0.4829893,0.2357576,-0.5107899,-0.33634663,0.06233418,-0.14175776
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,24,2000,Right,LM,0.14238982,-0.2452552,0.27796814,0.62876004,0.6378923,-0.22143105,-0.23995724,-0.2083544,0.25974125,0.108103305
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,27,1996,Left,RM,-0.29282346,-0.51195174,-0.09489224,0.78227526,0.70618665,0.008678434,-0.24649414,0.16716805,0.06794738,-0.43353555
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,23,2001,Right,CB,-0.2780131,0.020245386,-0.07293884,0.5655918,0.6082564,0.31805563,-0.4768058,-0.30062237,-0.2939204,-0.079550855
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,23,2001,Right,CDM,-0.24616815,-0.32252097,-0.2723262,0.59159374,0.6540812,-0.07165786,-0.5314188,-0.14474918,-0.15319274,-0.4379431
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,31,1992,Right,CB,0.25553474,0.56300384,-0.12698683,0.6245449,0.35887584,0.4334264,-0.6060328,0.35279092,-0.38926473,-0.5776122
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,22,2002,Left,CB,-0.027073082,0.36532915,-0.45288,0.62149155,0.49450886,0.4079641,-0.70923465,0.34893706,-0.35717323,-0.24726073
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,24,2000,Right,RM,-0.3394127,-0.46999976,-0.2798777,0.6206897,0.7178801,-0.10334342,-0.37923518,-0.20739543,-0.0036687872,-0.6056494
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,31,1993,Right,CB,-0.399953,0.054230954,-0.50284964,0.5019432,0.68298554,0.48221916,-0.46700433,-0.6531252,-0.44511512,-0.047207177
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,26,1998,Right,CDM,-0.38690442,-0.2117306,-0.39260492,0.65789145,0.6555698,0.021391816,-0.55455744,-0.36547175,0.21243115,-0.03387834
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,25,1999,Left,LB,0.11343438,-0.37104586,0.067597024,0.4948082,0.66307694,0.21617855,-0.46258125,0.07750992,-0.36509192,-0.28295925
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,28,1996,Right,RM,-0.4510749,-0.43856192,-0.17894386,0.038230915,0.6587053,-0.00027401,-0.4074753,0.44791204,0.19192503,0.03600987
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,28,1996,Right,LM,0.032451358,-0.57797074,0.50580734,0.32159147,0.1633703,0.087291755,-0.14022559,0.48470378,-0.21958432,0.3396959
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,26,1997,Left,LB,0.49870536,-0.6639112,0.43403086,-0.14179553,0.65330476,-0.45725387,-0.75125414,0.6940194,-0.5127033,-0.09398206
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,24,1999,Left,CB,0.3949236,0.36808679,-0.2050627,0.7546814,0.260538,0.19327214,-0.7914254,0.45414752,-0.6292889,0.22374678
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,24,2000,Right,CAM,-0.113311365,-0.18121348,-0.056427564,0.3966276,0.5382397,-0.16742979,-0.30468783,-0.14902367,-0.17520234,0.24461083
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,27,1997,Left,RM,-0.45221442,-0.35870516,-0.059545264,0.46593046,0.5925272,0.06534541,-0.19846384,-0.4740886,0.09124684,-0.22466026
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,27,1997,Right,CB,-0.36571974,0.20440917,-0.6024164,0.68066114,0.5292212,0.23006327,-0.6623197,-0.047841776,-0.19880463,-0.19502234
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,28,1996,Right,CB,0.2480961,0.4795544,-0.5999691,0.5649448,-0.12824082,0.607745,-0.7108225,0.40301394,-0.14152505,-0.27599546
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,28,1995,Right,RB,-0.13070516,-0.24906139,-0.16485319,0.49137494,0.6969942,-0.2294826,-0.58001304,0.004459581,-0.15139253,-0.25556096
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,33,1991,Right,ST,0.021467255,0.034496065,-0.09633312,0.3121032,0.52210724,-0.12273529,0.014046352,-0.037675507,0.24945256,-0.19500326
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,23,2001,Right,ST,-0.73045117,0.10353445,0.10105798,0.3369202,0.5648869,0.15524656,-0.022896986,-0.5699169,0.3688894,-0.34733436
