league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,27,1996,Left,RM,0.67545867,-0.17511156,-0.07127183,-0.3841267,-0.3009826,0.49079475,0.18315919,-0.07467487,0.0040542074,0.6278575
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,23,2001,Right,CB,0.7229352,0.03796473,0.37132996,0.16952375,0.39419466,0.032511868,0.34738085,-0.38938305,-0.17932914,0.27695867
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,23,2001,Right,CDM,0.6755725,-0.18202788,0.3595684,0.07698912,-0.20463201,0.33763337,0.41112772,-0.12038346,-0.1424768,0.38897565
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,31,1992,Right,CB,0.7000788,0.40302292,0.17306724,0.4637585,0.19199045,0.44463143,0.62275887,0.028727373,0.20211415,0.055424828
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,22,2002,Left,CB,0.73845935,0.24153166,-0.038950633,0.45172608,0.22821724,0.40104133,0.6547691,-0.17660065,-0.15499559,0.08062159
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,24,2000,Right,RM,0.6241513,-0.21375367,0.3434201,-0.2655567,-0.45116568,0.35525608,0.28942364,-0.12985732,-0.19579346,0.5719672
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,31,1993,Right,CB,0.671983,0.15331697,0.4744902,0.23801942,0.34032297,-0.19259423,0.22096339,-0.5493325,-0.33318573,0.5355906
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,26,1998,Right,CDM,0.7049502,-0.1252743,0.5240919,-0.09566975,-0.085135475,0.31174406,0.2598886,-0.5233624,-0.30509537,0.12337919
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,25,1999,Left,LB,0.80224216,-0.27262518,-0.12940754,0.19025457,0.14969471,0.28525952,0.2510783,0.27893737,0.11300945,0.46390775
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,28,1996,Right,RM,0.5730373,-0.040680587,-0.28552783,-0.5672722,-0.26793787,0.26430807,0.13011375,0.024096502,-0.4007416,0.20505892
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,28,1996,Right,LM,0.47081658,-0.24663275,-0.38252306,-0.26071012,0.024398314,0.13642852,-0.19673535,0.12604672,0.13974118,0.11537321
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,26,1997,Left,LB,0.6485016,-0.48434317,-0.44821513,0.046199854,-0.11046539,0.12375787,0.5805077,0.59859127,0.11197067,0.12571895
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,24,1999,Left,CB,0.6986403,-0.057712562,-0.2076922,0.60652125,0.17708272,0.28799897,0.5585671,-0.3118793,0.1532798,-0.0942521
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,24,2000,Right,CAM,0.6679936,-0.020427298,0.12513553,-0.32315832,-0.088835575,-0.028245155,0.16802275,-0.23463073,0.12131734,-0.038700286
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,27,1997,Left,RM,0.47032,-0.080795705,0.48233652,-0.35741234,-0.048916917,-0.08857694,-0.08745806,-0.33950397,-0.21262112,0.36117306
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,27,1997,Right,CB,0.7245631,0.16315274,0.309118,0.32292828,0.09785398,0.32151774,0.6424253,-0.5220175,-0.3428019,0.13020161
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,28,1996,Right,CB,0.692678,0.34675312,0.100464016,0.6294332,0.108129285,0.57511187,0.29968014,-0.26042277,-0.10224839,-0.18735558
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,28,1995,Right,RB,0.6988662,-0.2208571,0.2231781,0.012014817,-0.18510197,0.3050358,0.59879,-0.01970288,-0.09014107,0.16175476
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,33,1991,Right,ST,-0.11703115,0.14347039,0.26313385,-0.29255986,-0.08020449,0.24590696,0.26838464,-0.12826358,0.065444395,0.22370322
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,23,2001,Right,ST,0.29799965,0.2397831,0.7067244,-0.5386132,0.088959105,-0.18675448,-0.01511201,-0.41923282,-0.1968516,0.3056877
ENG-Premier League,2024 - 2025,Fulham,Sander Berge,NOR,26,1998,Right,CDM,0.70811576,-0.092527494,0.32563823,0.21221961,-0.19173743,0.33888432,0.5533604,-0.3866105,0.12758827,-0.061313845
