league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,26,1998,Right,CDM,0.071440525,0.18327111,0.078006044,-0.07465285,-0.04716888,0.5458984,0.23802474,-0.23366666,-0.18079756,-0.35349843
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,25,1999,Left,LB,-0.11916398,-0.044837974,0.29327133,-0.20328404,-0.45255232,-0.03960146,-0.19173728,0.40595216,0.12031258,0.15018907
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,28,1996,Right,RM,0.16284023,-0.022680424,0.034889918,0.19253871,0.26685083,0.19341896,0.44333386,-0.23317802,0.21064255,0.40863138
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,28,1996,Right,LM,0.33769494,-0.64390683,0.11032337,0.06415769,0.014744623,-0.36857128,-0.2826382,0.053350415,0.21933587,0.2825887
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,26,1997,Left,LB,-0.13827085,0.072990976,0.010058356,-0.5525418,-0.34948346,-0.29100344,-0.10900801,0.14348046,0.3367904,0.6685157
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,24,1999,Left,CB,-0.05047274,0.028124997,0.6011823,-0.54568094,-0.45985562,-0.22202535,-0.15577088,-0.27771726,-0.088728644,-0.039965604
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,24,2000,Right,CAM,0.14294314,0.1575153,-0.0863122,-0.04752826,0.20458286,-0.025838032,-0.34738153,-0.31377533,0.005890849,-0.08527138
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,27,1997,Left,RM,0.27331507,-0.011251876,-0.14782754,0.19967607,0.07383117,0.576345,-0.23978563,0.35474184,-0.026507322,-0.22798587
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,27,1997,Right,CB,0.31501043,0.48327982,0.5294908,-0.09305114,-0.1944534,0.5452198,0.2904476,-0.08846241,-0.33340937,-0.17217883
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,28,1996,Right,CB,-0.21511255,-0.11353224,0.71230596,-0.44446665,-0.53534687,-0.1815922,0.48054183,0.144291,-0.57596093,-0.051488224
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,28,1995,Right,RB,0.1026277,0.44843733,0.070066735,-0.28343165,-0.22123979,0.22991681,0.1471934,0.029116692,0.105666794,0.06772607
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,33,1991,Right,ST,0.03771429,0.28276223,-0.22964145,0.20793803,0.19631672,-0.29396683,0.17057157,0.15633486,0.026966915,-0.40526852
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,23,2001,Right,ST,0.38786745,0.32654753,-0.08673756,0.32214013,0.4428592,0.6773859,-0.18843633,0.5835612,-0.2707251,-0.55860496
ENG-Premier League,2024 - 2025,Fulham,Sander Berge,NOR,26,1998,Right,CDM,0.5986438,0.39831284,0.29779384,-0.3912385,-0.19737932,0.066623725,0.20409144,-0.26298493,-0.09542806,-0.20832212
