league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Manchester Utd,Alejandro Garnacho,ARG,20,2004,Right,CAM,0,RM
ENG-Premier League,2024 - 2025,Manchester Utd,Bruno Fernandes,POR,29,1994,Right,CAM,7,CM
ENG-Premier League,2024 - 2025,Manchester Utd,Casemiro,BRA,32,1992,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Manchester Utd,Diogo Dalot,POR,25,1999,Right,RB,13,LB
ENG-Premier League,2024 - 2025,Manchester Utd,Harry Maguire,ENG,31,1993,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Manchester Utd,Joshua Zirkzee,NED,23,2001,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Manchester Utd,Kobbie Mainoo,ENG,19,2005,Right,CM,1,CDM
ENG-Premier League,2024 - 2025,Manchester Utd,Leny Yoro,FRA,18,2005,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Manchester Utd,Lisandro Martínez,ARG,26,1998,Left,CB,15,CB
ENG-Premier League,2024 - 2025,Manchester Utd,Manuel Ugarte,URU,23,2001,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Manchester Utd,Marcus Rashford,ENG,26,1997,Right,LM,3,ST
ENG-Premier League,2024 - 2025,Manchester Utd,Matthijs de Ligt,NED,24,1999,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Manchester Utd,Noussair Mazraoui,MAR,26,1997,Right,RB,2,CDM
ENG-Premier League,2024 - 2025,Manchester Utd,Rasmus Højlund,DEN,21,2003,Left,ST,12,ST
ENG-Premier League,2024 - 2025,Newcastle Utd,Alexander Isak,SWE,24,1999,Right,ST,11,ST
ENG-Premier League,2024 - 2025,Newcastle Utd,Anthony Gordon,ENG,23,2001,Right,LW,0,RM
ENG-Premier League,2024 - 2025,Newcastle Utd,Bruno Guimarães,BRA,26,1997,Right,CM,7,CM
ENG-Premier League,2024 - 2025,Newcastle Utd,Dan Burn,ENG,32,1992,Left,CB,15,CB
ENG-Premier League,2024 - 2025,Newcastle Utd,Fabian Schär,SUI,32,1991,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Newcastle Utd,Harvey Barnes,ENG,26,1997,Right,LW,11,ST
ENG-Premier League,2024 - 2025,Newcastle Utd,Jacob Murphy,ENG,29,1995,Right,RW,9,CAM
ENG-Premier League,2024 - 2025,Newcastle Utd,Joe Willock,ENG,24,1999,Right,CM,6,RM
ENG-Premier League,2024 - 2025,Newcastle Utd,Joelinton,BRA,27,1996,Right,CM,2,CDM
ENG-Premier League,2024 - 2025,Newcastle Utd,Lewis Hall,ENG,19,2004,Left,LB,13,LB
ENG-Premier League,2024 - 2025,Newcastle Utd,Sandro Tonali,ITA,24,2000,Right,CDM,7,CM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Anthony Elanga,SWE,22,2002,Right,RW,16,RM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Callum Hudson-Odoi,ENG,23,2000,Right,LM,0,RM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Chris Wood,NZL,32,1991,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Nott'ham Forest,Elliot Anderson,ENG,21,2002,Right,CDM,13,LB
ENG-Premier League,2024 - 2025,Nott'ham Forest,Morato,BRA,23,2001,Left,CB,10,CB
ENG-Premier League,2024 - 2025,Nott'ham Forest,Morgan Gibbs-White,ENG,24,2000,Right,CAM,9,CAM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Murillo,BRA,22,2002,Left,CB,4,CB
ENG-Premier League,2024 - 2025,Nott'ham Forest,Neco Williams,WAL,23,2001,Right,LB,2,CDM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Nicolás Domínguez,ARG,26,1998,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Nott'ham Forest,Nikola Milenković,SRB,26,1997,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Nott'ham Forest,Ola Aina,NGA,27,1996,Right,RB,13,LB
ENG-Premier League,2024 - 2025,Nott'ham Forest,Ryan Yates,ENG,26,1997,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Southampton,Adam Armstrong,ENG,27,1997,Right,ST,12,ST
ENG-Premier League,2024 - 2025,Southampton,Cameron Archer,ENG,23,2001,Right,ST,12,ST
ENG-Premier League,2024 - 2025,Southampton,Flynn Downes,ENG,25,1999,Right,CM,5,CDM
ENG-Premier League,2024 - 2025,Southampton,Jack Stephens,ENG,30,1994,Right,CB,8,CB
ENG-Premier League,2024 - 2025,Southampton,James Bree,ENG,26,1997,Right,RB,14,CM
ENG-Premier League,2024 - 2025,Southampton,Jan Bednarek,POL,28,1996,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Southampton,Joe Aribo,NGA,28,1996,Left,CM,19,CM
ENG-Premier League,2024 - 2025,Southampton,Kamaldeen Sulemana,GHA,22,2002,Right,LM,6,RM
ENG-Premier League,2024 - 2025,Southampton,Kyle Walker-Peters,ENG,27,1997,Right,RB,7,CM
ENG-Premier League,2024 - 2025,Southampton,Lesley Ugochukwu,FRA,20,2004,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Southampton,Mateus Fernandes,POR,20,2004,Right,CAM,13,LB
ENG-Premier League,2024 - 2025,Southampton,Paul Onuachu,NGA,30,1994,Right,ST,3,ST
ENG-Premier League,2024 - 2025,Southampton,Ryan Manning,IRL,28,1996,Left,LB,14,CM
ENG-Premier League,2024 - 2025,Southampton,Taylor Harwood-Bellis,ENG,22,2002,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Southampton,Tyler Dibling,ENG,18,2006,Left,RM,6,RM
ENG-Premier League,2024 - 2025,Southampton,Yukinari Sugawara,JPN,24,2000,Right,RB,14,CM
ENG-Premier League,2024 - 2025,Tottenham,Archie Gray,ENG,18,2006,Right,CDM,10,CB
ENG-Premier League,2024 - 2025,Tottenham,Ben Davies,WAL,31,1993,Left,CB,10,CB
ENG-Premier League,2024 - 2025,Tottenham,Brennan Johnson,WAL,23,2001,Right,RW,17,ST
ENG-Premier League,2024 - 2025,Tottenham,Cristian Romero,ARG,26,1998,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Tottenham,Dejan Kulusevski,SWE,24,2000,Left,CM,0,RM
ENG-Premier League,2024 - 2025,Tottenham,Destiny Udogie,ITA,21,2002,Left,LB,2,CDM
ENG-Premier League,2024 - 2025,Tottenham,Djed Spence,ENG,23,2000,Right,RB,18,LB
ENG-Premier League,2024 - 2025,Tottenham,Dominic Solanke,ENG,26,1997,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Tottenham,James Maddison,ENG,27,1996,Right,CM,11,ST
ENG-Premier League,2024 - 2025,Tottenham,Lucas Bergvall,SWE,18,2006,Right,CM,1,CDM
ENG-Premier League,2024 - 2025,Tottenham,Mathys Tel,FRA,19,2005,Right,ST,12,ST
ENG-Premier League,2024 - 2025,Tottenham,Micky van de Ven,NED,23,2001,Left,CB,10,CB
ENG-Premier League,2024 - 2025,Tottenham,Pape Matar Sarr,SEN,21,2002,Right,CM,2,CDM
ENG-Premier League,2024 - 2025,Tottenham,Pedro Porro,ESP,24,1999,Right,RB,13,LB
